,object id,city,district,sub district key,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition
12170,201473,11,6,6030504,Teltower Damm,2019,11,9,1,3,5,3,0,0,1,0,0,0,0,1
12171,201474,11,12,12231101,Hermsdorf,2019,11,8,1,3,5,3,0,0,1,0,1,0,0,1
12172,201475,11,8,8010118,Silbersteinstraße,2019,11,17,1,2,6,4,2,0,1,1,0,0,0,1
12173,201476,11,2,2020203,Viktoriapark,2019,11,2,1,3,1,5,2,1,1,0,0,0,0,0
12174,201477,11,1,1033102,Gesundbrunnen,2019,11,23,1,3,5,3,2,0,1,0,0,0,0,1
12175,201478,11,12,12301203,Wittenau Süd,2019,11,6,1,3,8,1,2,0,1,0,0,0,0,1
12176,201479,11,11,11040925,Victoriastadt,2019,11,21,1,3,4,1,2,0,1,0,0,0,0,1
12177,201480,11,3,3061228,Erich-Weinert-Straße,2019,11,20,1,3,5,2,2,1,1,0,0,0,0,1
12178,201481,11,8,8020726,Buckow West,2019,11,20,1,2,6,3,2,0,1,1,0,0,0,1
12179,201482,11,8,8010117,Schillerpromenade,2019,11,17,1,3,6,4,2,0,1,1,0,0,0,1
12180,201483,11,9,9010301,Baumschulenstraße,2019,11,17,1,2,5,2,2,0,1,0,0,0,0,1
12181,201484,11,7,7020203,Kaiser-Wilhelm-Platz,2019,11,15,1,3,1,7,1,0,1,0,0,0,1,1
12182,201485,11,12,12301206,Lübars,2019,11,7,1,3,9,1,2,0,1,0,0,0,0,1
12183,201486,11,2,2010102,Mehringplatz,2019,11,5,7,3,5,3,2,0,1,0,0,0,0,1
12184,201487,11,10,10020412,Alte Hellersdorfer Straße,2019,11,14,7,3,5,2,0,0,1,0,0,0,0,0
12185,201488,11,8,8010117,Schillerpromenade,2019,11,22,7,3,2,6,2,0,1,0,0,0,0,0
12186,201489,11,6,6030608,Schweizer Viertel,2019,11,19,7,3,6,2,2,0,1,1,0,0,0,0
12187,201490,11,2,2010103,Moritzplatz,2019,11,18,7,3,2,6,2,0,1,0,0,0,0,0
12188,201491,11,1,1033203,Humboldthain Nordwest,2019,11,18,7,3,2,6,2,0,1,0,0,0,0,0
12189,201492,11,1,1044103,Westliche Müllerstraße,2019,11,14,7,3,5,2,0,0,1,0,0,0,0,1
12190,201493,11,1,1011301,Charitéviertel,2019,11,0,7,2,1,5,2,0,1,0,0,0,1,0
12191,201494,11,5,5020419,Magistratsweg,2019,11,9,7,3,5,2,0,0,1,0,0,0,0,1
12192,201495,11,10,10010308,Marzahner Chaussee,2019,11,7,7,3,0,1,2,0,0,0,1,0,0,1
12193,201496,11,6,6020409,Königsberger Straße,2019,11,6,7,3,5,3,2,1,1,0,0,0,0,1
12194,201497,11,7,7030303,Grazer Platz,2019,11,20,7,3,2,6,2,0,1,0,0,0,0,0
12195,201498,11,6,6040809,Thielallee,2019,11,5,7,2,9,1,2,0,1,1,0,0,0,0
12196,201499,11,2,2020203,Viktoriapark,2019,11,20,7,3,5,2,2,0,1,0,0,0,0,0
12197,201500,11,3,3040614,Pankow Zentrum,2019,11,19,7,3,0,3,2,0,1,0,1,0,0,0
12198,201501,11,2,2040703,Wriezener Bahnhof/Entwicklungsgebiet,2019,11,18,7,3,2,6,2,0,1,0,0,0,0,0
12199,201502,11,9,9010202,Köpenicker Landstraße,2019,11,13,7,3,5,2,0,0,1,0,0,0,0,0
12200,201503,11,4,4051655,Babelsberger Straße,2019,11,13,7,3,5,7,0,0,1,0,0,0,0,0
12201,201504,11,4,4041238,Kissinger Straße,2019,11,12,7,3,6,7,0,0,1,1,0,0,0,0
12202,201505,11,1,1011303,Alexanderplatzviertel,2019,11,2,7,3,0,2,2,0,1,0,0,0,0,0
12203,201506,11,11,11030619,Fennpfuhl Ost,2019,11,12,7,3,2,6,0,0,1,0,0,0,0,1
12204,201507,11,1,1044103,Westliche Müllerstraße,2019,11,10,7,2,0,5,0,0,1,0,1,0,0,1
