,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
10536,199839,1,Unter den Linden Nord,2019,9,19,6,3,0,1,2,0,0,0,0,0,1,1,Mitte,Accident with minor injuries,Others,Driving accident,Dark,Wet/moist/slippery
10537,199840,11,Rüdigerstraße,2019,9,18,6,3,5,3,1,0,1,0,0,0,0,1,Lichtenberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Twilight,Wet/moist/slippery
10538,199841,8,Hertzbergplatz,2019,10,14,1,3,5,3,0,1,1,0,0,0,0,0,Neukölln,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10539,199842,4,Park Ruhwald,2019,9,18,6,3,8,1,1,0,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Departure from the roadway to the right,Driving accident,Twilight,Wet/moist/slippery
10540,199843,1,Reinickendorfer Straße,2019,10,13,1,3,6,4,0,0,1,1,0,0,0,0,Mitte,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry
10541,199844,1,Beusselkiez,2019,9,17,6,3,1,5,0,1,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Wet/moist/slippery
10542,199845,2,Wriezener Bahnhof/Entwicklungsgebiet,2019,10,13,1,3,2,2,0,1,1,0,0,0,0,0,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry
10543,199846,7,Kettinger Straße/Schillerstraße,2019,9,16,6,3,5,3,0,0,1,0,0,0,0,1,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10544,199847,12,Klixstraße,2019,10,13,1,3,5,2,0,0,1,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry
10545,199848,6,Krumme Lanke,2019,10,13,1,3,5,3,0,1,1,0,0,0,0,0,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10546,199849,4,Amtsgerichtsplatz,2019,9,17,6,3,4,6,0,0,1,0,1,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with oncoming vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10547,199850,5,Gütersloher Weg,2019,10,12,1,3,5,2,0,1,1,0,0,0,0,0,Spandau,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry
10548,199851,7,Alt-Lichtenrade/Töpchiner Weg,2019,9,16,6,3,2,6,0,0,1,0,1,0,0,1,Tempelhof-Schöneberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10549,199852,7,Nollendorfplatz,2019,10,11,1,3,6,4,0,0,0,1,0,0,1,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry
10550,199853,11,Karlshorst Süd,2019,9,16,6,3,6,4,0,0,1,1,0,0,0,1,Lichtenberg,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery
10551,199854,2,Andreasviertel,2019,10,9,1,3,5,3,0,1,1,0,0,0,0,0,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10552,199855,1,Brunnenstraße,2019,9,16,6,3,2,6,0,0,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10553,199856,8,Parchimer Allee,2019,10,1,1,2,1,5,2,0,1,0,0,0,1,0,Neukölln,Accident with serious injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Dark,Dry
10554,199857,8,Tempelhofer Weg,2019,9,16,6,3,3,6,0,0,1,0,1,0,0,1,Neukölln,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10555,199858,4,Hagenplatz,2019,9,15,6,3,5,3,0,0,1,0,0,0,1,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10556,199859,12,Ziekowstraße/Freie Scholle,2019,10,0,1,2,5,2,2,0,1,0,1,0,0,1,Reinickendorf,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Wet/moist/slippery
10557,199860,4,Kaiserin-Augusta-Allee,2019,9,15,6,3,6,4,0,0,1,1,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery
10558,199861,12,Scharnweberstraße,2019,10,13,7,3,2,6,0,0,1,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry
10559,199862,12,Lübarser Straße,2019,10,16,7,3,8,1,0,0,1,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Departure from the roadway to the right,Driving accident,Daylight,Dry
