,Unnamed: 0,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail,accident count by district,est. population
6193,6193,195496,4,Lietzensee,2019,6,14,1,3,2,6,0,1,0,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,1727,343592.0
6194,6194,195497,4,Kissinger Straße,2019,6,14,1,3,5,3,0,1,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1727,343592.0
6195,6195,195498,1,Invalidenstraße,2019,6,14,1,3,6,7,0,0,1,1,0,0,0,0.0,Mitte,Accident with minor injuries,Collision between vehicle and pedestrian,Others,Daylight,Dry,2215,385748.0
6196,6196,195499,9,Altstadt Kietz,2019,6,19,1,3,3,6,0,1,1,0,0,0,0,0.0,Treptow-Köpenick,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Dry,892,273689.0
6197,6197,195500,1,Reinickendorfer Straße,2019,6,21,1,3,5,3,0,0,1,0,0,0,0,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,2215,385748.0
6198,6198,195501,11,Stralauer Kiez,2019,6,20,1,2,4,6,0,0,1,0,1,0,0,0.0,Lichtenberg,Accident with serious injuries,Collision with oncoming vehicle,Collision involving vehicles going in the same way,Daylight,Dry,679,294201.0
6199,6199,195502,2,Andreasviertel,2019,6,20,1,3,1,5,0,1,1,0,0,0,1,0.0,Friedrichshain-Kreuzberg,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Dry,1381,290386.0
6200,6200,195503,4,Plötzensee,2019,6,17,1,3,0,2,0,1,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Others,Turning accident,Daylight,Dry,1727,343592.0
6201,6201,195504,2,Mehringplatz,2019,6,17,1,2,5,3,0,0,1,0,1,0,0,0.0,Friedrichshain-Kreuzberg,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1381,290386.0
6202,6202,195505,10,Mahlsdorf Süd,2019,6,15,1,2,5,3,0,0,1,0,1,0,0,0.0,Marzahn-Hellersdorf,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,586,269967.0
